Time Series Search Export,Search term,Search filters,,Last update of Bilateral exchange rates data,Downloaded at,Source,Source URL,Download URL,About Bilateral exchange rates
,,,,2024-07-11,2024-07-13 17:47 CEST,BIS,https:/data.bis.org/topics/XRU/data?filter=FREQ%3DQ%255ECOLLECTION%3DE%255EREF_AREA_TXT%3DEuro%2520area&selected_ts=BIS%2CWS_XRU%2C1.0%255EQ.XM.EUR.E,https:/data.bis.org/topics/XRU/data?filter=FREQ%3DQ%255ECOLLECTION%3DE%255EREF_AREA_TXT%3DEuro%2520area&selected_ts=BIS%2CWS_XRU%2C1.0%255EQ.XM.EUR.E&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/XRU

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,CURRENCY:Currency,COLLECTION:Collection,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1996-03-31,F:Free,,A:Normal value,0.77912
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1996-06-30,F:Free,,A:Normal value,0.795425
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1996-09-30,F:Free,,A:Normal value,0.796242
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1996-12-31,F:Free,,A:Normal value,0.798091
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1997-03-31,F:Free,,A:Normal value,0.860785
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1997-06-30,F:Free,,A:Normal value,0.88494
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1997-09-30,F:Free,,A:Normal value,0.898473
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1997-12-31,F:Free,,A:Normal value,0.905625
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1998-03-31,F:Free,,A:Normal value,0.929213
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1998-06-30,F:Free,,A:Normal value,0.912492
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1998-09-30,F:Free,,A:Normal value,0.853541
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1998-12-31,F:Free,,A:Normal value,0.857082
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1999-03-31,F:Free,,A:Normal value,0.930925
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1999-06-30,F:Free,,A:Normal value,0.968242
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1999-09-30,F:Free,,A:Normal value,0.937647
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1999-12-31,F:Free,,A:Normal value,0.995421
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2000-03-31,F:Free,,A:Normal value,1.046792
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2000-06-30,F:Free,,A:Normal value,1.046463
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,2000-09-30,F:Free,,A:Normal value,1.140901
